,tweet_id,favorites,retweet_count
0,666020888022790149,2560,520
1,666029285002620928,131,47
2,666033412701032449,125,45
3,666044226329800704,301,141
4,666049248165822465,109,40
5,666050758794694657,133,58
6,666051853826850816,1231,859
7,666055525042405380,441,257
8,666057090499244032,299,142
9,666058600524156928,113,58
10,666063827256086533,480,223
11,666071193221509120,148,62
12,666073100786774016,326,169
13,666082916733198337,120,45
14,666094000022159362,166,76
15,666099513787052032,158,71
16,666102155909144576,80,13
17,666104133288665088,14452,6691
18,666268910803644416,105,36
19,666273097616637952,178,77
20,666287406224695296,151,68
21,666293911632134144,513,359
22,666337882303524864,199,94
23,666345417576210432,301,142
24,666353288456101888,223,74
25,666362758909284353,785,579
26,666373753744588802,191,95
27,666396247373291520,168,87
28,666407126856765440,111,41
29,666411507551481857,451,333
30,666418789513326592,127,47
31,666421158376562688,320,115
32,666428276349472768,166,86
33,666430724426358785,321,200
34,666435652385423360,168,54
35,666437273139982337,129,50
36,666447344410484738,105,22
37,666454714377183233,529,215
38,666644823164719104,235,85
39,666649482315059201,900,595
40,666691418707132416,190,48
41,666701168228331520,441,224
42,666739327293083650,240,67
43,666776908487630848,360,179
44,666781792255496192,397,203
45,666786068205871104,784,503
46,666804364988780544,245,94
47,666817836334096384,534,259
48,666826780179869698,258,100
49,666835007768551424,220,82
50,666837028449972224,839,568
51,666983947667116034,2625,1022
52,666996132027977728,248,100
53,667012601033924608,462,235
54,667044094246576128,192,52
55,667062181243039745,222,56
56,667065535570550784,169,49
57,667073648344346624,414,129
58,667090893657276420,341,130
59,667119796878725120,337,133
60,667138269671505920,4748,2319
61,667152164079423490,48903,17811
62,667160273090932737,263,65
63,667165590075940865,2764,1199
64,667171260800061440,228,95
65,667174963120574464,256,86
66,667176164155375616,628,475
67,667177989038297088,194,57
68,667182792070062081,14790,6484
69,667188689915760640,766,433
70,667192066997374976,401,111
71,667200525029539841,633,274
72,667211855547486208,508,251
73,667369227918143488,379,170
74,667393430834667520,203,58
75,667405339315146752,480,225
76,667435689202614272,314,86
77,667437278097252352,465,250
78,667443425659232256,811,608
79,667453023279554560,320,94
80,667455448082227200,196,65
81,667470559035432960,265,101
82,667491009379606528,550,237
83,667495797102141441,547,288
84,667502640335572993,550,228
85,667509364010450944,7009,2225
86,667517642048163840,381,199
87,667524857454854144,1754,1173
88,667530908589760512,489,256
89,667534815156183040,848,562
90,667538891197542400,210,70
